pair,signal_time,tag,profit,exit,deep_loser,regime_down_age,regime_up_age,ext_vwap,ext_ema50,bull_sweep_recent,bull_sweep_4h,bear_sweep_recent,bear_sweep_4h,rsi,rsi_4h,rsi_1d,volume_ratio,macdhist,adx
BTC,2026-02-03 14:00:00+00:00,shark_short_1h,0.2578444998324008,target_25pct_roi,False,13,0,1.69,1.76,False,0.0,False,0.0,39.26,37.21,29.21,1.98,-135.92,22.94
BTC,2026-02-04 13:00:00+00:00,breakdown_short_1h,0.26147294580709224,target_25pct_roi,False,36,0,1.13,2.7,False,0.0,False,0.0,37.88,35.41,25.58,1.31,-17.63,31.19
ETH,2026-02-04 13:00:00+00:00,shark_short_1h,0.26508732038820826,target_25pct_roi,False,38,0,0.88,2.19,False,0.0,False,0.0,38.45,35.91,25.22,1.4,-2.69,20.39
BTC,2026-02-07 07:00:00+00:00,shark_short_1h,-0.13727320507952168,fast_timestop,True,1,0,0.58,0.98,False,0.0,True,1.0,44.36,39.36,32.59,1.79,-222.91,31.23
ETH,2026-02-09 08:00:00+00:00,shark_short_1h,0.239953440789623,smc_oversold_exit,False,2,0,1.7,1.08,False,0.0,True,1.0,39.36,45.48,31.41,2.07,-5.76,16.1
BTC,2026-02-10 14:00:00+00:00,shark_short_1h,0.20386963476121311,smc_sm_accumulation_exit,False,16,0,1.52,1.64,True,0.0,False,0.0,38.65,42.27,33.28,3.01,-95.09,24.76
BTC,2026-02-15 13:00:00+00:00,breakdown_short_1h,0.10429443184311811,smc_4h_trend_flip_exit,False,2,0,1.81,0.8,True,0.0,True,1.0,36.81,58.66,37.46,3.2,-158.82,36.61
ETH,2026-02-23 15:00:00+00:00,shark_short_1h,-0.22532123419325842,trailing_stop_loss,True,2,0,0.18,1.92,False,0.0,False,0.0,41.66,39.37,34.27,1.48,4.36,23.21
BTC,2026-02-26 16:00:00+00:00,breakdown_short_1h,-0.05395013391608582,smc_emergency_exit,False,1,0,2.39,0.61,False,0.0,False,0.0,38.12,54.54,42.4,1.62,-269.98,24.51
BTC,2026-02-27 10:00:00+00:00,breakdown_short_1h,0.25087591482112703,target_25pct_roi,False,1,0,1.41,1.15,False,0.0,False,0.0,37.28,56.02,41.43,2.19,-59.76,12.37
BTC,2026-03-16 21:00:00+00:00,shark_long_1h,-0.11762562089563307,trailing_stop_loss,False,0,7,-1.27,-2.58,False,0.0,False,1.0,65.25,71.11,57.7,1.46,-2.28,36.86
ETH,2026-03-29 13:00:00+00:00,breakdown_short_1h,-0.13683858937117022,trailing_stop_loss,True,1,0,1.87,2.36,False,0.0,False,0.0,36.79,38.85,42.49,2.37,-1.45,15.15
BTC,2026-03-29 15:00:00+00:00,shark_short_1h,-0.10618577496274527,trailing_stop_loss,False,2,0,0.57,1.29,False,0.0,False,0.0,45.25,38.74,40.9,1.55,-12.61,12.45
BTC,2026-03-30 17:00:00+00:00,shark_short_1h,-0.11301465322950455,smc_emergency_exit,False,2,0,0.35,0.51,True,0.0,True,1.0,44.16,50.86,40.13,1.74,-52.47,14.15
ETH,2026-03-30 19:00:00+00:00,shark_short_1h,-0.11193444087301818,smc_emergency_exit,False,3,0,0.51,0.35,False,0.0,False,0.0,43.54,46.36,41.89,1.53,-4.82,18.12
BTC,2026-04-07 14:00:00+00:00,breakdown_short_1h,-0.06653764034001858,smc_emergency_exit,False,1,0,2.25,1.57,True,0.0,False,0.0,36.1,52.08,50.32,2.04,-113.66,20.75
BTC,2026-04-10 11:00:00+00:00,shark_long_1h,0.10244283104594501,long_overbought_early,False,0,13,-0.55,-1.51,False,0.0,False,0.0,56.36,65.76,58.17,1.11,-36.27,21.73
ETH,2026-04-10 16:00:00+00:00,shark_long_1h,0.09269841407362249,long_overbought_early,False,0,6,-1.51,-2.2,False,0.0,True,0.0,64.7,61.59,56.48,1.21,5.24,28.31
BTC,2026-04-14 15:00:00+00:00,shark_long_1h,0.14896907373460935,long_overbought_early,False,0,27,-2.16,-3.87,False,0.0,True,0.0,68.27,72.72,61.97,2.03,-5.4,50.85
ETH,2026-04-15 19:00:00+00:00,shark_long_1h,-0.11604982176137812,trailing_stop_loss,False,0,6,-2.03,-2.71,False,0.0,True,0.0,66.36,65.68,60.33,1.71,4.28,20.69
BTC,2026-05-03 20:00:00+00:00,shark_long_1h,-0.04812684701431575,trailing_stop_loss,False,0,6,-1.28,-2.46,False,0.0,False,0.0,66.39,63.24,62.29,3.08,23.72,30.19
ETH,2026-05-05 13:00:00+00:00,shark_long_1h,-0.09197239100043877,trailing_stop_loss,False,0,15,-1.31,-2.02,False,0.0,True,0.0,62.02,62.83,56.62,1.65,0.82,25.1
ETH,2026-05-17 22:00:00+00:00,shark_short_1h,0.26027790996589883,target_25pct_roi,False,9,0,0.59,1.97,True,0.0,False,0.0,41.1,36.99,38.97,1.52,0.42,21.8
ETH,2026-05-24 14:00:00+00:00,shark_short_1h,0.2755790685372406,target_25pct_roi,False,1,0,0.61,0.31,False,0.0,True,0.0,45.25,54.44,38.97,3.22,-2.97,39.41
BTC,2026-05-29 13:00:00+00:00,shark_short_1h,0.10581399350634615,smc_sm_accumulation_exit,False,19,0,0.62,2.38,False,0.0,False,0.0,39.77,34.4,35.8,1.68,2.92,29.46
ETH,2026-05-29 13:00:00+00:00,shark_short_1h,0.21139636608901785,smc_oversold_exit,False,27,0,0.4,1.63,True,0.0,False,0.0,43.24,37.25,31.05,1.61,-0.11,26.21
BTC,2026-06-05 06:00:00+00:00,breakdown_short_1h,-0.1408840723020883,fast_timestop,True,102,0,1.39,3.02,True,0.0,False,0.0,35.99,25.19,18.4,2.55,-55.62,34.62
BTC,2026-06-09 00:00:00+00:00,shark_short_1h,-0.10116527531023926,smc_emergency_exit,False,2,0,1.44,0.5,False,0.0,True,0.0,41.25,48.85,26.19,1.87,-144.17,20.0
ETH,2026-06-09 14:00:00+00:00,breakdown_short_1h,-0.137408366747809,fast_timestop,True,1,0,1.73,1.09,False,0.0,False,0.0,36.82,47.99,27.91,3.2,-4.01,19.82
BTC,2026-06-25 15:00:00+00:00,shark_short_1h,-0.03877946723588507,force_exit,False,3,0,0.64,2.51,False,0.0,False,0.0,38.02,32.4,33.31,1.6,-179.16,24.52
ETH,2026-06-26 12:00:00+00:00,shark_short_1h,-0.14628358679330716,fast_timestop,True,24,0,1.08,2.62,True,0.0,False,0.0,38.52,33.26,30.52,2.03,0.47,30.9
ETH,2026-06-28 16:00:00+00:00,shark_short_1h,-0.1498351022412311,trailing_stop_loss,True,4,0,0.61,0.84,False,1.0,True,0.0,44.17,43.75,31.67,2.03,0.18,14.73
